text,expected_keywords
"My card payment failed during checkout","card,payment,checkout"
"Transaction declined despite sufficient balance","transaction,declined,balance"
"Unable to complete payment using my credit card","payment,credit card"
"Rewards points were not credited","rewards,points,credited"
"Bonus rewards never appeared in my account","bonus,rewards,account"
"Missing cashback after recent purchase","cashback,purchase"
"There is an unauthorized transaction on my card","unauthorized,transaction,card"
"Suspicious payment detected on my account","suspicious,payment,account"
"Fraudulent charge appeared on my statement","fraudulent,charge,statement"
"The mobile app crashes frequently","mobile app,crashes"
"Unable to log in to the mobile application","login,mobile application"
"App freezes during payment process","app,payment"
"Customer support resolved my issue quickly","customer support,issue"
"Support team never responded to my complaint","support,complaint"
"Excellent service from customer care","service,customer care"
"My card activation process failed","card activation,failed"
"Unable to activate the newly issued card","activate,card"
"Credit limit increase request was rejected","credit limit,rejected"
"Merchant charged me twice for one purchase","merchant,charged,purchase"
"Dispute regarding merchant transaction remains unresolved","merchant,transaction,dispute"
